0.25,1.33,1.15
0.27,1.26,1.27
0.2,1.11,1.3
0.09,0.84,1.25
-0.01,0.65,1.27
-0.13,0.53,1.24
-0.19,0.11,1.27
-0.24,-0.09,1.43
-0.26,-0.23,1.52
-0.33,-0.46,1.5
-0.36,-0.5,1.47
-0.38,-0.58,1.79
-0.35,-0.68,1.1
-0.32,-0.95,1.15
-0.24,-0.54,1.75
-0.17,-0.56,1.75
-0.18,-0.66,1.46
-0.18,-0.72,1.56
-0.25,-0.85,1.53
-0.29,-0.97,1.37
-0.31,-0.91,1.25
-0.33,-1.02,1.18
-0.33,-1.08,1.13
-0.39,-1.13,0.98
-0.42,-1.2,0.81
-0.41,-1.08,0.77
-0.39,-0.96,0.76
-0.37,-0.93,0.74
-0.34,-0.84,0.74
-0.32,-0.75,0.71
-0.32,-0.77,0.63
-0.34,-0.82,0.58
-0.37,-0.89,0.54
-0.41,-0.89,0.49
-0.45,-0.9,0.39
-0.46,-0.88,0.3
-0.47,-0.7,0.27
-0.47,-0.55,0.22
-0.4,-0.23,0.17
-0.31,-0.09,0.24
-0.22,-0.09,0.43
-0.1,0.23,0.62
-0.03,0.35,0.65
-0.03,0.25,0.63
-0.08,0.13,0.6
-0.13,0.04,0.52
-0.19,-0.02,0.47
-0.19,0.18,0.35
-0.11,0.44,0.34
-0.08,0.32,0.57
-0.05,0.33,0.68
-0.02,0.36,0.68
-0.02,0.29,0.64
0,0.23,0.61
0.01,0.21,0.54
-0.03,0.08,0.54
-0.06,0.01,0.6
-0.04,0.13,0.64
0.02,0.18,0.7
0.04,0.23,0.8
0.08,0.41,0.91
0.11,0.28,1.05
0.14,0.3,1.09
0.17,0.24,1.11
0.19,0.42,0.94
0.19,0.28,0.94
0.18,0.31,1.18
0.16,0.38,1.25
0.14,0.31,1.22
0.11,0.22,1.25
0.11,0.22,1.3
0.15,0.29,1.27
0.2,0.28,1.19
0.18,0.17,1.17
0.14,0.09,1.1
0.13,0.12,0.99
0.1,0.09,1.02
0.06,0,1.14
0.04,0,1.19
0.01,-0.05,1.16
-0.02,-0.1,1.09
-0.01,-0.11,1.03
0,-0.14,1.05
0.02,-0.09,1.08
0.03,-0.06,1.14
0.04,-0.04,1.2
0.03,-0.06,1.2
-0.01,-0.09,1.16
-0.04,-0.13,1.04
-0.1,-0.29,1.06
-0.12,-0.35,1.15
-0.14,-0.39,1.12
-0.16,-0.43,1.07
-0.12,-0.33,1.07
-0.07,-0.15,1.13
-0.05,-0.13,1.19
-0.05,-0.1,1.18
-0.04,-0.09,1.19
-0.04,-0.09,1.2
-0.06,-0.14,1.16
-0.09,-0.19,1.1
-0.13,-0.3,1.04
-0.15,-0.35,1
-0.15,-0.33,0.98
-0.14,-0.27,0.93
-0.09,-0.1,0.88
-0.04,-0.06,0.99
0,-0.01,1.09
-0.01,-0.03,1.09
-0.01,-0.06,1.04
0,-0.02,1.02
-0.02,-0.05,1.03
-0.05,-0.11,1.04
-0.07,-0.14,1
-0.09,-0.16,0.95
-0.1,-0.19,0.91
-0.1,-0.2,0.87
-0.08,-0.13,0.85
-0.06,-0.12,0.86
-0.04,-0.12,0.93
-0.04,-0.1,1
-0.04,-0.1,1.01
-0.05,-0.09,1
-0.06,-0.09,1
-0.06,-0.09,1
-0.05,-0.06,1
-0.04,-0.07,0.97
-0.03,-0.09,0.98
-0.44,-0.96,1.44
-0.5,-1.06,1.4
-0.55,-1.12,1.37
-0.6,-1.22,1.29
-0.6,-1.22,1.17
-0.62,-1.16,1.09
-0.63,-1.11,0.96
-0.58,-1,0.85
-0.52,-0.82,0.83
-0.5,-0.78,0.83
-0.51,-0.73,0.76
-0.51,-0.75,0.7
-0.49,-0.72,0.67
-0.43,-0.61,0.63
-0.38,-0.55,0.66
-0.35,-0.46,0.73
-0.35,-0.42,0.71
-0.35,-0.37,0.64
-0.34,-0.22,0.51
-0.28,-0.02,0.33
-0.19,0.2,0.19
-0.11,0.32,0.21
-0.05,0.3,0.41
-0.05,0.35,0.55
-0.04,0.25,0.57
-0.04,0.19,0.65
-0.04,0.14,0.68
-0.05,0.11,0.55
-0.1,0.04,0.35
-0.15,-0.12,0.15
-0.23,-0.21,0.06
-0.2,0.08,-0.12
-0.1,0.45,-0.08
-0.01,0.43,0.19
0.07,0.48,0.54
0.14,0.56,0.76
0.17,0.54,0.72
0.14,0.36,0.66
0.1,0.24,0.64
0.07,0.2,0.61
0.05,0.28,0.53
0.09,0.44,0.59
0.13,0.51,0.83
0.18,0.55,1.07
0.24,0.59,1.27
0.29,0.69,1.42
0.33,0.65,1.46
0.34,0.7,1.33
0.31,0.58,1.4
0.22,0.51,1.53
0.11,0.31,1.44
0.01,0.16,1.3
-0.06,0.01,1.18
-0.11,-0.15,1.12
-0.14,-0.22,1.15
-0.14,-0.29,1.17
-0.11,-0.23,1.14
-0.08,-0.16,1.16
-0.03,-0.02,1.18
0.01,0.04,1.23
0.01,0.01,1.18
0,-0.06,1.15
-0.01,-0.1,1.14
-0.06,-0.2,1.08
-0.1,-0.25,1.04
-0.14,-0.25,1.03
-0.15,-0.27,0.99
-0.1,-0.14,1.03
-0.05,-0.03,1.14
0,-0.03,1.23
0.05,0.07,1.3
0.04,0.02,1.27
-0.02,-0.12,1.21
-0.08,-0.18,1.13
-0.13,-0.23,1.09
-0.16,-0.29,1.06
-0.14,-0.23,0.99
-0.09,-0.09,1.03
-0.06,-0.06,1.1
-0.07,-0.12,1.11
-0.06,-0.09,1.11
-0.04,-0.05,1.11
-0.08,-0.13,1.16
-0.11,-0.21,1.17
-0.15,-0.23,1.11
-0.18,-0.29,1.05
-0.18,-0.29,1.02
-0.17,-0.29,1.03
-0.15,-0.26,0.99
-0.11,-0.17,0.94
-0.09,-0.16,0.92
-0.07,-0.16,0.95
-0.05,-0.07,0.97
-0.05,-0.08,0.97
-0.05,-0.08,0.99
-0.06,-0.07,0.96
-0.07,-0.1,0.96
-0.07,-0.11,0.97
-0.07,-0.09,0.96
-0.07,-0.11,0.94
-0.07,-0.1,0.92
-0.07,-0.1,0.91
-0.08,-0.12,0.88
-0.07,-0.11,0.9
-0.05,-0.04,0.91
-0.05,-0.03,0.98
-0.06,-0.07,1
-0.06,-0.01,1.03
-0.06,-0.06,1.02
-0.06,-0.05,1
-0.07,-0.07,0.95
-0.07,-0.08,0.94
-0.06,-0.06,0.97
-0.07,-0.06,0.95
-0.06,-0.02,0.93
-0.06,0,0.94
-0.06,-0.06,0.98
-0.06,-0.04,1
-0.07,-0.09,1
-0.07,-0.09,1.01
-0.07,-0.1,1.01
-0.07,-0.05,0.98
-0.08,-0.06,0.94
-0.07,-0.05,0.92
-0.05,0.02,0.97
-0.04,0,0.99
-0.05,-0.04,0.97
-0.06,-0.08,0.96
-0.29,-1.05,1.3
-0.29,-0.99,1.07
-0.3,-1.02,1.23
-0.29,-0.98,1.09
-0.28,-0.9,0.99
-0.3,-0.98,1.05
-0.34,-1,1.09
-0.39,-1.07,1.14
-0.42,-1.12,1.17
-0.42,-1.12,1.19
-0.53,-1.21,1.08
-0.58,-1.26,0.95
-0.66,-1.35,0.79
-0.65,-1.18,0.53
-0.58,-1.05,0.49
-0.55,-1.05,0.63
-0.49,-0.93,0.68
-0.48,-0.82,0.72
-0.46,-0.7,0.73
-0.43,-0.54,0.62
-0.4,-0.44,0.61
-0.32,-0.38,0.72
-0.29,-0.24,0.85
-0.21,-0.09,0.89
-0.15,-0.05,0.9
-0.12,0.05,0.84
-0.13,0.09,0.8
-0.2,-0.01,0.76
-0.17,0.1,0.54
-0.12,0.28,0.29
-0.1,0.25,0.32
-0.11,0.13,0.46
-0.12,0.09,0.52
-0.14,-0.01,0.46
-0.16,-0.16,0.35
-0.19,-0.28,0.34
-0.27,-0.39,0.36
-0.32,-0.37,0.18
-0.3,-0.09,-0.05
-0.23,0.08,0.01
-0.16,0.36,0.08
-0.02,0.51,0.13
0.07,0.53,0.34
0.15,0.49,0.58
0.22,0.58,0.71
0.24,0.59,0.69
0.25,0.53,0.79
0.28,0.62,0.86
0.31,0.67,0.88
0.28,0.51,0.98
0.27,0.44,1
0.28,0.42,0.97
0.25,0.39,0.94
0.26,0.35,1.01
0.25,0.55,1.05
0.21,0.48,1.14
0.19,0.49,1.38
0.16,0.43,1.61
0.09,0.3,1.67
0.06,0.24,1.61
-0.03,0.1,1.57
-0.06,-0.01,1.57
-0.09,0.02,1.48
-0.12,-0.03,1.28
-0.13,-0.06,1.25
-0.15,-0.12,1.3
-0.17,-0.26,1.27
-0.2,-0.36,1.28
-0.22,-0.47,1.32
-0.23,-0.54,1.32
-0.24,-0.51,1.24
-0.22,-0.44,1.15
-0.15,-0.29,1.13
-0.11,-0.15,1.16
-0.1,-0.15,1.19
-0.1,-0.1,1.2
-0.13,-0.17,1.19
-0.16,-0.28,1.15
-0.17,-0.29,1.14
-0.19,-0.31,1.08
-0.19,-0.36,1.04
-0.17,-0.31,1.06
-0.14,-0.26,1.02
-0.12,-0.24,1
-0.11,-0.23,1.02
-0.09,-0.17,0.98
-0.06,-0.11,0.96
-0.07,-0.09,0.97
-0.08,-0.11,0.94
-0.09,-0.12,0.93
-0.08,-0.11,0.96
-0.07,-0.07,0.96
-0.06,-0.04,0.93
-0.07,-0.1,0.93
-0.09,-0.12,0.91
-0.09,-0.16,0.9
-0.07,-0.12,0.89
-0.02,0,0.89
-0.01,0,0.93
-0.05,-0.09,0.94
-0.05,-0.03,0.98
-0.06,-0.08,0.98
-0.06,-0.09,0.97
-0.07,-0.05,0.96
-0.08,-0.06,0.93
-0.07,-0.05,0.93
-0.07,-0.05,0.95
-0.06,-0.05,0.97
-0.06,-0.06,0.96
-0.06,-0.01,0.97
-0.06,-0.02,0.99
-0.06,-0.07,1
-0.06,-0.08,1.03
-0.07,-0.11,1.02
-0.07,-0.11,0.97
-0.09,-0.12,0.9
-0.09,-0.13,0.87
-0.06,-0.06,0.89
-0.04,0,0.91
-0.06,0,0.96
-0.07,-0.05,0.97
-0.07,-0.07,0.99
-0.06,-0.12,0.95
-0.07,0,0.99
-0.08,-0.13,1.02
-0.06,-0.08,0.96
-0.09,-0.08,0.96
-0.08,-0.09,0.96
-0.29,-1.22,1.23
-0.36,-1.28,1.12
-0.45,-1.32,0.87
-0.5,-1.42,0.84
-0.53,-1.46,0.89
-0.51,-1.41,0.86
-0.49,-1.11,0.81
-0.46,-0.99,0.8
-0.43,-1,0.79
-0.41,-0.9,0.77
-0.42,-0.9,0.77
-0.43,-0.83,0.73
-0.44,-0.75,0.68
-0.41,-0.58,0.62
-0.34,-0.41,0.62
-0.31,-0.32,0.7
-0.28,-0.23,0.73
-0.23,-0.14,0.78
-0.22,-0.11,0.85
-0.19,-0.02,0.85
-0.12,-0.06,0.95
-0.2,-0.02,0.98
-0.19,0.02,0.91
-0.19,-0.1,0.86
-0.21,-0.1,0.79
-0.22,-0.23,0.75
-0.28,-0.29,0.65
-0.23,-0.12,0.33
-0.12,0.33,0.05
-0.02,0.42,0.16
0.02,0.3,0.54
0.03,0.18,0.75
-0.03,0.12,0.76
-0.04,0.05,0.65
-0.07,-0.04,0.48
-0.16,-0.17,0.32
-0.2,-0.1,0.05
-0.14,0.19,-0.11
-0.05,0.31,0.07
0.06,0.48,0.41
0.16,0.59,0.64
0.22,0.59,0.74
0.24,0.57,0.78
0.23,0.59,0.77
0.18,0.49,0.75
0.11,0.42,0.68
0.11,0.53,0.72
0.1,0.48,0.94
0.14,0.53,0.97
0.19,0.51,1.01
0.24,0.54,1.12
0.24,0.48,1.13
0.23,0.41,1.04
0.2,0.35,1.05
0.17,0.34,1.15
0.14,0.4,1.21
0.1,0.39,1.28
0.06,0.27,1.29
0.02,0.15,1.24
0,0.07,1.18
-0.03,-0.04,1.19
-0.03,-0.03,1.21
-0.03,-0.02,1.28
-0.03,0.02,1.39
-0.01,0.15,1.36
0.02,0.29,1.35
-0.01,0.2,1.44
-0.05,0.03,1.44
-0.1,-0.07,1.36
-0.14,-0.23,1.3
-0.16,-0.33,1.29
-0.17,-0.35,1.26
-0.17,-0.35,1.19
-0.18,-0.36,1.11
-0.17,-0.36,1.1
-0.1,-0.17,1.11
-0.06,-0.01,1.13
-0.04,-0.06,1.2
-0.05,-0.09,1.21
-0.1,-0.19,1.15
-0.13,-0.25,1.1
-0.14,-0.27,1.1
-0.16,-0.31,1.05
-0.18,-0.28,0.97
-0.17,-0.28,0.91
-0.13,-0.21,0.94
-0.09,-0.16,1.01
-0.04,-0.03,1.05
-0.01,0.05,1.06
-0.03,-0.04,1.06
-0.05,-0.06,1.01
-0.07,-0.1,0.94
-0.08,-0.11,0.94
-0.08,-0.08,0.89
-0.08,-0.09,0.87
-0.06,-0.04,0.89
-0.04,0.01,0.88
0,0.05,0.89
0.02,0.09,0.94
0.02,0.14,0.98
-0.01,0.05,1
-0.04,-0.02,0.98
-0.07,-0.03,0.96
-0.07,-0.02,0.96
-0.07,-0.02,0.97
-0.06,-0.04,0.97
-0.05,-0.01,0.94
-0.04,0.02,0.91
-0.03,0.03,0.9
-0.01,0.06,0.9
-0.01,0.05,0.94
-0.04,-0.03,0.98
-0.05,0,0.96
-0.05,0.01,0.98
-0.05,0.01,1.04
-0.05,0,1.05
-0.05,0,1.06
-0.06,-0.02,1.05
-0.06,-0.03,1
-0.07,-0.02,0.96
-0.08,-0.08,0.93
-0.08,-0.05,0.91
-0.08,-0.07,0.93
-0.07,-0.06,0.97
-0.07,-0.06,1.01
-0.06,-0.04,1.01
-0.05,-0.02,0.99
-0.05,-0.06,1
-0.39,-0.77,1.61
-0.35,-0.75,1.61
-0.34,-0.63,1.52
-0.4,-0.66,1.28
-0.45,-0.66,1.17
-0.45,-0.79,1.13
-0.41,-0.81,1.13
-0.35,-0.79,1.21
-0.34,-0.71,1.27
-0.33,-0.68,1.23
-0.37,-0.79,1.23
-0.39,-0.66,1.17
-0.39,-0.72,1.09
-0.42,-0.65,0.94
-0.4,-0.67,0.77
-0.39,-0.69,0.79
-0.4,-0.57,0.79
-0.34,-0.47,0.77
-0.31,-0.41,0.71
-0.29,-0.23,0.59
-0.27,-0.18,0.48
-0.26,-0.25,0.46
-0.23,-0.22,0.47
-0.19,-0.1,0.45
-0.16,-0.08,0.45
-0.17,-0.13,0.47
-0.18,-0.14,0.41
-0.21,-0.21,0.33
-0.22,-0.25,0.31
-0.21,-0.21,0.36
-0.19,-0.1,0.32
-0.11,0.11,0.33
0.01,0.46,0.42
0.09,0.61,0.5
